REGION,STATE,MONTH,VALUE
North,Roraima,OCT,5415.2
North,Roraima,NOV,5135.6
North,Roraima,DEC,4724.6
Southeast,São Paulo,JAN,5653.116279
Southeast,São Paulo,FEB,5808.64186
Southeast,São Paulo,MAR,5120.271318
Southeast,São Paulo,APR,4644.336434
Southeast,São Paulo,MAY,3851.92093
Southeast,São Paulo,JUN,3577.883721
Southeast,São Paulo,JUL,3759.948837
Southeast,São Paulo,AUG,4679.07907
Southeast,São Paulo,SEP,4760.917829
Southeast,São Paulo,OCT,5348.103876
Southeast,São Paulo,NOV,5711.311628
Southeast,São Paulo,DEC,6077.756589
South,Santa Catarina,JAN,5780.569492
South,Santa Catarina,FEB,5392.579661
South,Santa Catarina,MAR,4745.850847
South,Santa Catarina,APR,3850.698305
South,Santa Catarina,MAY,3016.779661
South,Santa Catarina,JUN,2554.955932
South,Santa Catarina,JUL,2782.342373
South,Santa Catarina,AUG,3586.00678
South,Santa Catarina,SEP,3751.098305
South,Santa Catarina,OCT,4542.122034
South,Santa Catarina,NOV,5672.857627
South,Santa Catarina,DEC,5981.132203
Northeast,Sergipe,JAN,6166.76
Northeast,Sergipe,FEB,6007.16
Northeast,Sergipe,MAR,5890.4
Northeast,Sergipe,APR,5048.84
Northeast,Sergipe,MAY,4262.026667
Northeast,Sergipe,JUN,3986.08
Northeast,Sergipe,JUL,4090.133333
Northeast,Sergipe,AUG,4645.373333
Northeast,Sergipe,SEP,5416.786667
Northeast,Sergipe,OCT,5764.093333
Northeast,Sergipe,NOV,6230.733333
Northeast,Sergipe,DEC,6277.093333
North,Tocantins,JAN,5056.294964
North,Tocantins,FEB,5096.280576
North,Tocantins,MAR,4905.280576
North,Tocantins,APR,4940.482014
North,Tocantins,MAY,5021.115108
North,Tocantins,JUN,5102.381295
North,Tocantins,JUL,5307.582734
North,Tocantins,AUG,5924.179856
North,Tocantins,SEP,5794.043165
North,Tocantins,OCT,5337.230216
North,Tocantins,NOV,5043.870504
North,Tocantins,DEC,5030.460432
