STATE,ANNUAL
CEARÁ,5984
CEARÁ,5655
CEARÁ,5590
CEARÁ,5908
CEARÁ,5468
CEARÁ,5578
CEARÁ,5519
CEARÁ,5678
CEARÁ,5668
CEARÁ,5740
CEARÁ,5621
CEARÁ,5635
CEARÁ,5634
CEARÁ,5447
CEARÁ,5498
CEARÁ,5638
CEARÁ,5444
CEARÁ,5444
CEARÁ,5297
CEARÁ,5530
CEARÁ,5617
CEARÁ,5618
CEARÁ,5496
CEARÁ,5411
CEARÁ,5609
CEARÁ,5687
CEARÁ,5620
CEARÁ,5418
CEARÁ,5418
CEARÁ,5696
CEARÁ,5873
CEARÁ,5560
CEARÁ,5614
CEARÁ,5597
CEARÁ,5720
CEARÁ,5865
CEARÁ,5422
CEARÁ,5414
CEARÁ,5414
CEARÁ,5555
CEARÁ,5598
CEARÁ,5547
CEARÁ,5438
CEARÁ,5438
CEARÁ,5590
CEARÁ,5804
CEARÁ,5665
CEARÁ,5329
CEARÁ,5440
CEARÁ,5534
CEARÁ,5513
CEARÁ,5451
CEARÁ,5451
CEARÁ,5731
CEARÁ,5729
CEARÁ,5388
CEARÁ,5535
CEARÁ,5611
CEARÁ,5483
CEARÁ,5493
CEARÁ,5556
CEARÁ,5420
CEARÁ,5517
CEARÁ,5558
CEARÁ,5701
CEARÁ,5775
CEARÁ,5491
CEARÁ,5475
CEARÁ,5503
CEARÁ,5561
CEARÁ,5360
CEARÁ,5336
CEARÁ,5766
CEARÁ,5554
CEARÁ,5610
CEARÁ,5518
CEARÁ,5510
CEARÁ,5567
CEARÁ,5576
CEARÁ,5581
CEARÁ,5683
CEARÁ,5692
CEARÁ,5556
CEARÁ,5593
CEARÁ,5535
CEARÁ,5501
CEARÁ,5458
CEARÁ,5527
CEARÁ,5570
CEARÁ,5605
CEARÁ,5566
CEARÁ,5528
CEARÁ,5456
CEARÁ,5576
CEARÁ,5576
CEARÁ,5629
DISTRITO FEDERAL,5430
ESPÍRITO SANTO,5110
ESPÍRITO SANTO,5074
ESPÍRITO SANTO,5033
ESPÍRITO SANTO,5147
ESPÍRITO SANTO,4993
ESPÍRITO SANTO,4984
ESPÍRITO SANTO,5214
ESPÍRITO SANTO,5214
ESPÍRITO SANTO,5141
ESPÍRITO SANTO,5055
ESPÍRITO SANTO,4995
ESPÍRITO SANTO,5091
ESPÍRITO SANTO,5153
ESPÍRITO SANTO,5212
ESPÍRITO SANTO,4850
ESPÍRITO SANTO,5053
ESPÍRITO SANTO,5211
ESPÍRITO SANTO,5002
ESPÍRITO SANTO,5012
ESPÍRITO SANTO,5140
ESPÍRITO SANTO,4980
ESPÍRITO SANTO,5093
ESPÍRITO SANTO,4888
ESPÍRITO SANTO,4931
ESPÍRITO SANTO,5063
ESPÍRITO SANTO,4914
ESPÍRITO SANTO,4968
ESPÍRITO SANTO,4942
ESPÍRITO SANTO,4836
ESPÍRITO SANTO,4836
ESPÍRITO SANTO,5039
ESPÍRITO SANTO,4859
ESPÍRITO SANTO,4948
ESPÍRITO SANTO,5132
ESPÍRITO SANTO,5203
ESPÍRITO SANTO,4884
ESPÍRITO SANTO,4794
ESPÍRITO SANTO,4925
ESPÍRITO SANTO,4746
ESPÍRITO SANTO,5070
ESPÍRITO SANTO,4776
ESPÍRITO SANTO,5008
ESPÍRITO SANTO,4966
ESPÍRITO SANTO,4687
ESPÍRITO SANTO,4754
ESPÍRITO SANTO,4985
ESPÍRITO SANTO,4905
ESPÍRITO SANTO,4905
ESPÍRITO SANTO,4995
ESPÍRITO SANTO,4969
ESPÍRITO SANTO,5119
ESPÍRITO SANTO,5002
ESPÍRITO SANTO,4894
ESPÍRITO SANTO,4996
ESPÍRITO SANTO,4820
ESPÍRITO SANTO,4857
ESPÍRITO SANTO,4886
ESPÍRITO SANTO,4952
ESPÍRITO SANTO,4954
ESPÍRITO SANTO,4944
ESPÍRITO SANTO,4938
ESPÍRITO SANTO,4935
ESPÍRITO SANTO,4919
ESPÍRITO SANTO,4917
ESPÍRITO SANTO,4942
ESPÍRITO SANTO,4977
ESPÍRITO SANTO,4929
ESPÍRITO SANTO,5123
ESPÍRITO SANTO,4922
ESPÍRITO SANTO,5265
ESPÍRITO SANTO,4891
ESPÍRITO SANTO,4967
ESPÍRITO SANTO,4904
ESPÍRITO SANTO,4975
ESPÍRITO SANTO,5007
ESPÍRITO SANTO,4968
ESPÍRITO SANTO,4968
ESPÍRITO SANTO,5010
GOIÁS,5467
GOIÁS,5460
GOIÁS,5392
GOIÁS,5451
GOIÁS,5437
GOIÁS,5465
GOIÁS,5447
GOIÁS,5449
GOIÁS,5471
GOIÁS,5437
GOIÁS,5270
GOIÁS,5438
GOIÁS,5501
GOIÁS,5455
GOIÁS,5567
GOIÁS,5352
GOIÁS,5397
GOIÁS,5531
GOIÁS,5510
GOIÁS,5411
GOIÁS,5411
GOIÁS,5515
GOIÁS,5524
GOIÁS,5583
GOIÁS,5496
GOIÁS,5439
GOIÁS,5479
GOIÁS,5504
GOIÁS,5532
GOIÁS,5540
GOIÁS,5499
GOIÁS,5425
GOIÁS,5490
GOIÁS,5361
GOIÁS,5503
GOIÁS,5392
GOIÁS,5463
GOIÁS,5503
GOIÁS,5448
GOIÁS,5522
GOIÁS,5496
GOIÁS,5485
GOIÁS,5491
GOIÁS,5494
GOIÁS,5484
GOIÁS,5373
GOIÁS,5452
GOIÁS,5482
GOIÁS,5355
GOIÁS,5457
GOIÁS,5551
GOIÁS,5352
GOIÁS,5346
GOIÁS,5462
GOIÁS,5496
GOIÁS,5346
GOIÁS,5476
GOIÁS,5475
GOIÁS,5473
GOIÁS,5471
GOIÁS,5482
GOIÁS,5520
GOIÁS,5520
GOIÁS,5546
GOIÁS,5495
GOIÁS,5474
GOIÁS,5499
GOIÁS,5360
GOIÁS,5455
GOIÁS,5479
GOIÁS,5473
GOIÁS,5443
GOIÁS,5484
GOIÁS,5501
GOIÁS,5440
GOIÁS,5437
GOIÁS,5491
GOIÁS,5464
GOIÁS,5466
GOIÁS,5451
GOIÁS,5476
GOIÁS,5447
GOIÁS,5444
GOIÁS,5493
GOIÁS,5418
GOIÁS,5417
GOIÁS,5417
GOIÁS,5515
GOIÁS,5453
GOIÁS,5436
GOIÁS,5476
GOIÁS,5476
GOIÁS,5451
GOIÁS,5499
GOIÁS,5450
GOIÁS,5455
GOIÁS,5483
GOIÁS,5478
GOIÁS,5465
GOIÁS,5453
GOIÁS,5438
GOIÁS,5447
GOIÁS,5447
GOIÁS,5482
GOIÁS,5465
GOIÁS,5459
GOIÁS,5456
GOIÁS,5456
GOIÁS,5431
GOIÁS,5458
GOIÁS,5450
GOIÁS,5457
GOIÁS,5425
GOIÁS,5455
GOIÁS,5455
GOIÁS,5438
GOIÁS,5448
GOIÁS,5458
GOIÁS,5458
GOIÁS,5446
GOIÁS,5423
GOIÁS,5446
GOIÁS,5444
GOIÁS,5422
GOIÁS,5464
GOIÁS,5422
GOIÁS,5398
GOIÁS,5521
GOIÁS,5448
GOIÁS,5419
GOIÁS,5427
GOIÁS,5464
GOIÁS,5466
GOIÁS,5478
GOIÁS,5486
GOIÁS,5429
GOIÁS,5425
GOIÁS,5454
GOIÁS,5451
GOIÁS,5438
GOIÁS,5459
GOIÁS,5495
GOIÁS,5431
GOIÁS,5477
GOIÁS,5465
GOIÁS,5465
GOIÁS,5429
GOIÁS,5479
GOIÁS,5435
GOIÁS,5494
GOIÁS,5423
GOIÁS,5459
GOIÁS,5433
GOIÁS,5448
GOIÁS,5483
GOIÁS,5393
GOIÁS,5371
GOIÁS,5476
GOIÁS,5424
GOIÁS,5468
GOIÁS,5433
GOIÁS,5408
GOIÁS,5686
GOIÁS,5400
GOIÁS,5481
GOIÁS,5441
GOIÁS,5384
GOIÁS,5412
GOIÁS,5451
GOIÁS,5498
GOIÁS,5581
GOIÁS,5620
GOIÁS,5434
GOIÁS,5458
GOIÁS,5435
GOIÁS,5433
GOIÁS,5362
GOIÁS,5354
GOIÁS,5398
GOIÁS,5435
GOIÁS,5431
GOIÁS,5424
GOIÁS,5499
GOIÁS,5389
GOIÁS,5400
GOIÁS,5596
GOIÁS,5433
GOIÁS,5408
GOIÁS,5464
GOIÁS,5570
GOIÁS,5352
GOIÁS,5400
GOIÁS,5434
GOIÁS,5545
GOIÁS,5740
GOIÁS,5457
