NAME,STATE,REGION,DIFFUSE,PAR
Lajedinho,Bahia,Northeast,2228,2178
Rafael Jambeiro,Bahia,Northeast,2241,2210
Santo Estêvão,Bahia,Northeast,2205,2245
Antônio Cardoso,Bahia,Northeast,2190,2246
São Gonçalo dos Campos,Bahia,Northeast,2212,2237
Amélia Rodrigues,Bahia,Northeast,2202,2240
Terra Nova,Bahia,Northeast,2219,2218
Pojuca,Bahia,Northeast,2199,2265
Catu,Bahia,Northeast,2199,2265
Catolândia,Bahia,Northeast,1991,2463
Baianópolis,Bahia,Northeast,1987,2468
Oliveira dos Brejinhos,Bahia,Northeast,1892,2535
Wagner,Bahia,Northeast,2224,2134
Ruy Barbosa,Bahia,Northeast,2224,2173
Ipecaetá,Bahia,Northeast,2221,2229
Feira de Santana,Bahia,Northeast,2217,2233
Conceição do Jacuípe,Bahia,Northeast,2203,2243
Teodoro Sampaio,Bahia,Northeast,2201,2240
Itanagra,Bahia,Northeast,2140,2322
Cristópolis,Bahia,Northeast,1988,2473
Ibotirama,Bahia,Northeast,1896,2553
Iraquara,Bahia,Northeast,2149,2253
Ipirá,Bahia,Northeast,2225,2217
Serra Preta,Bahia,Northeast,2225,2214
Anguera,Bahia,Northeast,2233,2205
Coração de Maria,Bahia,Northeast,2207,2246
Araças,Bahia,Northeast,2200,2265
Luís Eduardo Magalhães,Bahia,Northeast,2057,2420
Barreiras,Bahia,Northeast,1933,2509
Wanderley,Bahia,Northeast,1976,2494
Muquém de São Francisco,Bahia,Northeast,1958,2509
Souto Soares,Bahia,Northeast,2128,2277
Utinga,Bahia,Northeast,2214,2154
Macajuba,Bahia,Northeast,2270,2148
Irará,Bahia,Northeast,2218,2245
Pedrão,Bahia,Northeast,2209,2247
Alagoinhas,Bahia,Northeast,2218,2244
Aramari,Bahia,Northeast,2218,2244
Angical,Bahia,Northeast,1945,2511
Cotegipe,Bahia,Northeast,1958,2500
Brotas de Macaúbas,Bahia,Northeast,2021,2439
Mulungu do Morro,Bahia,Northeast,2119,2307
Bonito,Bahia,Northeast,2180,2179
Baixa Grande,Bahia,Northeast,2234,2181
Tanquinho,Bahia,Northeast,2223,2225
Santa Bárbara,Bahia,Northeast,2228,2225
Santanópolis,Bahia,Northeast,2217,2243
Ouriçangas,Bahia,Northeast,2218,2245
Mundo Novo,Bahia,Northeast,2246,2150
Água Fria,Bahia,Northeast,2242,2231
Entre Rios,Bahia,Northeast,2186,2287
Cardeal da Silva,Bahia,Northeast,2187,2285
Ipupiara,Bahia,Northeast,1959,2492
Barra do Mendes,Bahia,Northeast,2058,2379
Barro Alto,Bahia,Northeast,2056,2385
Tapiramutá,Bahia,Northeast,2229,2150
Pintadas,Bahia,Northeast,2239,2187
Pé de Serra,Bahia,Northeast,2224,2229
Riachão do Jacuípe,Bahia,Northeast,2214,2236
Candeal,Bahia,Northeast,2217,2241
Lamarão,Bahia,Northeast,2240,2211
Inhambupe,Bahia,Northeast,2225,2258
Esplanada,Bahia,Northeast,2203,2279
Conde,Bahia,Northeast,2082,2389
Riachão das Neves,Bahia,Northeast,1960,2499
Canarana,Bahia,Northeast,2065,2380
Cafarnaum,Bahia,Northeast,2070,2373
Piritiba,Bahia,Northeast,2238,2163
Mairi,Bahia,Northeast,2253,2178
Capela do Alto Alegre,Bahia,Northeast,2230,2206
Ichu,Bahia,Northeast,2231,2236
Serrinha,Bahia,Northeast,2221,2242
Acajutiba,Bahia,Northeast,2202,2283
Aporá,Bahia,Northeast,2202,2283
Morpará,Bahia,Northeast,1916,2537
Ibipeba,Bahia,Northeast,2053,2380
Várzea da Roça,Bahia,Northeast,2245,2192
Nova Fátima,Bahia,Northeast,2227,2240
Conceição do Coité,Bahia,Northeast,2225,2244
Biritinga,Bahia,Northeast,2231,2242
Sátiro Dias,Bahia,Northeast,2245,2249
Jandaíra,Bahia,Northeast,2175,2317
Ibititá,Bahia,Northeast,2034,2419
Morro do Chapéu,Bahia,Northeast,2164,2238
Várzea do Poço,Bahia,Northeast,2247,2150
São José do Jacuípe,Bahia,Northeast,2243,2196
Gavião,Bahia,Northeast,2234,2230
São Domingos,Bahia,Northeast,2234,2228
Retirolândia,Bahia,Northeast,2235,2228
Barrocas,Bahia,Northeast,2232,2253
Teofilândia,Bahia,Northeast,2231,2254
Crisópolis,Bahia,Northeast,2219,2281
Rio Real,Bahia,Northeast,2205,2297
Gentio do Ouro,Bahia,Northeast,1947,2516
Lapão,Bahia,Northeast,2035,2429
América Dourada,Bahia,Northeast,2076,2383
Miguel Calmon,Bahia,Northeast,2180,2223
Serrolândia,Bahia,Northeast,2233,2156
Quixabeira,Bahia,Northeast,2240,2197
Capim Grosso,Bahia,Northeast,2240,2203
Valente,Bahia,Northeast,2239,2227
Olindina,Bahia,Northeast,2219,2271
Uibaí,Bahia,Northeast,1995,2466
Presidente Dutra,Bahia,Northeast,2017,2445
Irecê,Bahia,Northeast,2039,2435
João Dourado,Bahia,Northeast,2054,2426
Várzea Nova,Bahia,Northeast,2180,2271
Santaluz,Bahia,Northeast,2241,2232
Araci,Bahia,Northeast,2231,2256
Itapicuru,Bahia,Northeast,2207,2283
São Gabriel,Bahia,Northeast,2039,2434
Jacobina,Bahia,Northeast,2141,2259
Nova Soure,Bahia,Northeast,2218,2277
Barra,Bahia,Northeast,1953,2536
Central,Bahia,Northeast,2008,2465
Caém,Bahia,Northeast,2198,2188
Cipó,Bahia,Northeast,2230,2265
Formosa do Rio Preto,Bahia,Northeast,1994,2484
Santa Rita de Cássia,Bahia,Northeast,1968,2505
Itaguaçu da Bahia,Bahia,Northeast,1942,2544
Jussara,Bahia,Northeast,2018,2464
Ourolândia,Bahia,Northeast,2133,2305
Mirangaba,Bahia,Northeast,2151,2257
Caldeirão Grande,Bahia,Northeast,2224,2200
Queimadas,Bahia,Northeast,2216,2239
Tucano,Bahia,Northeast,2185,2307
Ribeira do Amparo,Bahia,Northeast,2253,2234
Saúde,Bahia,Northeast,2163,2232
Ponto Novo,Bahia,Northeast,2216,2220
Xique-Xique,Bahia,Northeast,1937,2552
Nordestina,Bahia,Northeast,2198,2259
